"period","geography","vehicle_type","powertrain","observation_level","source_id","sales","unit","period_type","metric","estimate_status","coverage_status","preferred_for_projection","notes","source_grade","source_type","publisher","tesla_scope","powertrain_canonical","market_scope","row_quality","uncertainty_band_percent","lower_sales","upper_sales","projection_caveat","row_count","range_sales"
"2025","Australia","SUV","total","vehicle_type_total","aaa_ev_index",757697,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,753909,761485,"",2,0
"2025","Australia","SUV","total","vehicle_type_total","carexpert_2025_full",757697,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Category breakdown includes Tesla and Polestar sales.","B","media_vfacts_quote","CarExpert","includes_tesla","total","light_vehicle","direct_media_vfacts_quote",2,742543,772851,"",2,0
"2025","Australia","total","BEV","powertrain_total","aaa_ev_index",103270,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","BEV","light_vehicle","direct_dashboard_complete",0.5,102754,103786,"",2,0
"2025","Australia","total","BEV","powertrain_total","carexpert_2025_full",103270,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel/propulsion breakdown excludes heavy commercial vehicles.","B","media_vfacts_quote","CarExpert","includes_tesla","BEV","all_new_vehicles","direct_media_vfacts_quote",2,101205,105335,"",2,0
"2025","Australia","total","HEV","powertrain_total","aaa_ev_index",199133,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","HEV","light_vehicle","direct_dashboard_complete",0.5,198137,200129,"",2,0
"2025","Australia","total","HEV","powertrain_total","carexpert_2025_full",199133,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel/propulsion breakdown excludes heavy commercial vehicles.","B","media_vfacts_quote","CarExpert","includes_tesla","HEV","all_new_vehicles","direct_media_vfacts_quote",2,195150,203116,"",2,0
"2025","Australia","total","PHEV","powertrain_total","aaa_ev_index",53484,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index rollup across broad light-vehicle types.","A","official_dashboard","Australian Automobile Association","includes_tesla","PHEV","light_vehicle","direct_dashboard_complete",0.5,53217,53751,"",2,0
"2025","Australia","total","PHEV","powertrain_total","carexpert_2025_full",53484,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"Fuel/propulsion breakdown excludes heavy commercial vehicles.","B","media_vfacts_quote","CarExpert","includes_tesla","PHEV","all_new_vehicles","direct_media_vfacts_quote",2,52414,54554,"",2,0
"2025","Australia","total","total","market_total","aaa_ev_index",1190783,"vehicles","annual_sales","new_vehicle_sales","observed","complete_year",TRUE,"AAA EV Index light-vehicle market rollup across broad vehicle and fuel types.","A","official_dashboard","Australian Automobile Association","includes_tesla","total","light_vehicle","direct_dashboard_complete",0.5,1184829,1196737,"light-vehicle market only; excludes heavy commercial",2,50254
"2025","Australia","total","total","market_total","carexpert_2025_full",1241037,"vehicles","annual_sales","new_vehicle_sales","observed","source_reported_period",FALSE,"CarExpert reports FCAI/EVC full-year 2025 market total.","B","media_vfacts_quote","CarExpert","includes_tesla","total","all_new_vehicles","direct_media_vfacts_quote",2,1216216,1265858,"",2,50254
