"manufacturer_id","vehicle_class_id","fuel_type_id","source_id","query_year","vehicle_display_id","model","body","engine","transmission","drivetrain","tailpipe_co2_comb_g_km","tailpipe_co2_urban_g_km","tailpipe_co2_extra_g_km","annual_fuel_cost_aud","fuel_consumption_comb_l_100km","fuel_consumption_urban_l_100km","fuel_consumption_extra_l_100km","energy_consumption_wh_km","electric_range_km","air_pollution_standard","annual_tailpipe_co2_tonnes","fuel_lifecycle_co2_g_km","noise_data","test_cycle","source_url","raw_html_path","fuel_type_label","powertrain_group","vehicle_class_label","manufacturer_label"
5,4,4,"gvg_current_search",2025,"30508","Audi SQ8 quattro 22","4 door 5 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",205,227,193,2250,7.8,8.6,7.3,NA,NA,"Euro 6",2.87,264,"70 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
5,4,4,"gvg_current_search",2025,"30509","Audi SQ8 quattro 23","4 door 5 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",206,227,193,2250,7.8,8.6,7.4,NA,NA,"Euro 6",2.88,264,"70 dBA <br/>@ 2375 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make5.html","Diesel","ICE_diesel","Large Car","Audi"
28,4,4,"gvg_current_search",2025,"28558","Bentley MY2018 Bentayga V8 Diesel","4 door 4 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",210,246,189,2307,8,9.4,7.2,NA,NA,"Euro 6",2.94,271,"70 dBA <br/>@ 2500 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make28.html","Diesel","ICE_diesel","Large Car","Bentley"
28,4,4,"gvg_current_search",2025,"28559","Bentley MY2018 Bentayga V8 Diesel","4 door 5 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",210,246,189,2307,8,9.4,7.2,NA,NA,"Euro 6",2.94,271,"70 dBA <br/>@ 2500 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make28.html","Diesel","ICE_diesel","Large Car","Bentley"
28,8,4,"gvg_current_search",2025,"28560","Bentley MY2018 Bentayga V8 Diesel","4 door 7 seat SUV","4L 8cyl Turbo Diesel","8 spd Auto","4WD",210,246,189,2307,8,9.4,7.2,NA,NA,"Euro 6",2.94,271,"70 dBA <br/>@ 2500 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class8_make28.html","Diesel","ICE_diesel","People Mover","Bentley"
29,4,4,"gvg_current_search",2025,"22794","BMW F06 6 Series 640d Gran Coupe","4 door 5 seat Sedan","3.0L 6cyl Turbo Diesel","8 spd Auto","2WD",149,181,130,1644,5.7,6.9,4.9,NA,NA,"Euro 5",2.09,193,"85.00 dBA <br/>@ 3750 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make29.html","Diesel","ICE_diesel","Large Car","BMW"
NA,3,4,"gvg_current_search",2025,"26012","BMW F22 2 Series 220d","2 door 4 seat Coupe","2.0L 4cyl Turbo Diesel","8 spd Auto","2WD",107,124,97,1182,4.1,4.7,3.7,NA,NA,"Euro 5",1.5,139,"75.00 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class3_allmake.html","Diesel","ICE_diesel","Medium Car",NA
NA,3,4,"gvg_current_search",2025,"24470","BMW F22 2 Series 220d","2 door 4 seat Coupe","2.0L 4cyl Turbo Diesel","6 spd Manual","2WD",125,155,107,1384,4.8,5.9,4.1,NA,NA,"Euro 5",1.75,163,"75.00 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class3_allmake.html","Diesel","ICE_diesel","Medium Car",NA
NA,3,4,"gvg_current_search",2025,"24471","BMW F22 2 Series 220d","2 door 4 seat Coupe","2.0L 4cyl Turbo Diesel","8 spd Auto","2WD",117,136,106,1269,4.4,5.2,4,NA,NA,"Euro 5",1.64,149,"78.00 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class3_allmake.html","Diesel","ICE_diesel","Medium Car",NA
NA,3,4,"gvg_current_search",2025,"26011","BMW F22 2 Series 220d","2 door 4 seat Coupe","2.0L 4cyl Turbo Diesel","6 spd Manual","2WD",115,142,99,1269,4.4,5.4,3.8,NA,NA,"Euro 5",1.61,149,"75.00 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class3_allmake.html","Diesel","ICE_diesel","Medium Car",NA
29,4,4,"gvg_current_search",2025,"27451","BMW F30 3 Series 320d","4 door 5 seat Sedan","2L 4cyl Turbo Diesel","6 spd Manual","2WD",116,140,102,1269,4.4,5.3,3.9,NA,NA,"Euro 5",1.62,149,"81 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make29.html","Diesel","ICE_diesel","Large Car","BMW"
29,4,4,"gvg_current_search",2025,"27450","BMW F30 3 Series 320d","4 door 5 seat Sedan","2L 4cyl Turbo Diesel","8 spd Auto","2WD",116,136,105,1269,4.4,5.2,4,NA,NA,"Euro 5",1.62,149,"78 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make29.html","Diesel","ICE_diesel","Large Car","BMW"
29,4,4,"gvg_current_search",2025,"27474","BMW F34 3 Series Gran Turismo 320d","4 door 5 seat Hatch","2L 4cyl Turbo Diesel","8 spd Auto","2WD",120,141,108,1327,4.6,5.4,4.1,NA,NA,"Euro 5",1.68,156,"76 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make29.html","Diesel","ICE_diesel","Large Car","BMW"
29,4,4,"gvg_current_search",2025,"27475","BMW F34 3 Series Gran Turismo 320d","4 door 5 seat Hatch","2L 4cyl Turbo Diesel","6 spd Manual","2WD",127,155,110,1384,4.8,5.9,4.2,NA,NA,"Euro 5",1.78,163,"76 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make29.html","Diesel","ICE_diesel","Large Car","BMW"
29,4,4,"gvg_current_search",2025,"24843","BMW F36 4 Series 420d Gran Coupe","4 door 5 seat Coupe","2.0L 4cyl Turbo Diesel","8 spd Auto","2WD",124,147,111,1355,4.7,5.6,4.2,NA,NA,"Euro 5",1.74,159,"75.00 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make29.html","Diesel","ICE_diesel","Large Car","BMW"
29,4,4,"gvg_current_search",2025,"24842","BMW F36 4 Series 420d Gran Coupe","4 door 5 seat Coupe","2.0L 4cyl Turbo Diesel","6 spd Manual","2WD",128,158,110,1413,4.9,6,4.2,NA,NA,"Euro 5",1.79,166,"77.00 dBA <br/>@ 3000 rpm","N/A","https://www.greenvehicleguide.gov.au/Vehicle/Search","data/raw/gvg_search/gvg_year2025_fuel4_class4_make29.html","Diesel","ICE_diesel","Large Car","BMW"
