"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Renault","Renault Megane","ICE",3,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0
"VICTORIA","Medium SUV","GWM","GWM Haval H6","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Leapmotor","Leapmotor C10","BEV",0,0,0,0,0,0,0,0,0,0,0,2,9,1,2,0,0
"VICTORIA","Large Car","BMW","BMW 5 Series","ICE",48,70,92,64,49,87,104,95,94,104,81,25,19,22,17,3,10
"SOUTH AUSTRALIA","Medium SUV","GWM","GWM Haval H7","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,15
"VICTORIA","Medium SUV","Alfa Romeo","Alfa Romeo Stelvio","ICE",33,49,27,17,11,28,16,18,21,15,9,12,18,23,14,19,10
"VICTORIA","Small Car","Hyundai","Hyundai Ioniq","PHEV",3,3,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"VICTORIA","Ute (4WD)","KGM","KGM Musso/MusXLV","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,141,145,156,73
"VICTORIA","Medium SUV","Audi","Audi Q5","PHEV",0,0,0,0,0,0,3,39,35,29,9,2,50,28,6,1,4
"TASMANIA","Medium Car","BMW","BMW 3 Series","PHEV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Large SUV","Volvo Car","Volvo EX90","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"SOUTH AUSTRALIA","Large SUV","Porsche","Porsche Cayenne Wagon","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"VICTORIA","Ute (4WD)","BYD","BYD Shark 6","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,1055,1461,960,1004,929
"SOUTH AUSTRALIA","Large Car","Bentley","Bentley Sedan","ICE",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"TASMANIA","Medium SUV","GWM","GWM Haval H6","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"VICTORIA","Large SUV","Mercedes-Benz Cars","Mercedes-Benz EQS SUV","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEW SOUTH WALES","Large Car","BMW","BMW 5 Series","BEV",0,0,0,0,0,0,0,18,8,18,4,6,31,0,0,0,0
"TASMANIA","Medium Car","Lexus","Lexus ES","Hybrid",0,1,2,0,2,4,4,0,3,2,0,1,1,2,2,1,4
"AUSTRALIAN CAPITAL TERRITORY","People Mover","Mercedes-Benz","Mercedes-Benz Vito/eVito Tour","ICE",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","CUPRA","CUPRA Terramar","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,5
"VICTORIA","Small SUV","Mercedes-Benz Cars","Mercedes-Benz GLA-Class","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
"QUEENSLAND","Small SUV","Stellantis","Alfa Romeo Junior","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,6
"VICTORIA","Small SUV","Alfa Romeo","Alfa Romeo Tonale","ICE",0,0,0,0,18,39,42,37,18,16,10,4,10,29,2,4,6
"VICTORIA","Large Car","Volvo Car","Volvo ES90","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"VICTORIA","Small Car","Toyota","Toyota Yaris","Hybrid",15,34,27,29,37,10,32,25,17,65,73,98,116,130,136,106,79
