"STATE","VEHICLE TYPE","MANUFACTURER","MODEL","FUEL TYPE","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024","Q1 2025","Q2 2025","Q3 2025","Q4 2025","Q1 2026"
"SOUTH AUSTRALIA","Medium SUV","Alfa Romeo","Alfa Romeo Stelvio","ICE",9,3,5,2,8,3,4,4,6,2,3,6,1,3,4,4,1
"QUEENSLAND","Medium SUV","Mazda","Mazda CX-60","ICE",0,0,0,0,0,4,194,127,85,111,160,110,161,190,196,240,198
"NEW SOUTH WALES","Small SUV","Nissan","Nissan Juke","ICE",148,97,64,10,94,96,54,114,201,67,36,39,51,28,23,30,9
"NEW SOUTH WALES","Small Car","CUPRA","CUPRA Leon","PHEV",0,0,3,5,4,1,0,17,3,6,9,4,11,0,4,4,1
"VICTORIA","Small Car","Mercedes-Benz Cars","Mercedes-Benz A-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz GLC-Class Wagon","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"NEW SOUTH WALES","Medium Car","Volkswagen","Volkswagen Passat","ICE",55,67,177,126,139,122,69,35,21,3,4,1,27,5,2,0,0
"SOUTH AUSTRALIA","Large SUV","Omoda Jaecoo","Omoda Jaecoo J8","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,13
"VICTORIA","Ute (4WD)","KGM","KGM Musso/MusXLV","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12
"AUSTRALIAN CAPITAL TERRITORY","Large Car","Skoda","Skoda Superb","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"SOUTH AUSTRALIA","Medium SUV","Skoda","Skoda Karoq","ICE",10,9,8,17,23,16,20,13,11,9,10,2,8,12,5,8,9
"QUEENSLAND","Large Car","Chrysler","Chrysler 300","ICE",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WESTERN AUSTRALIA","Medium Car","BMW","BMW 3 Series","PHEV",2,1,2,3,5,4,1,4,1,0,1,0,0,0,0,0,0
"WESTERN AUSTRALIA","Small SUV","Lexus","Lexus UX","Hybrid",14,8,10,8,9,41,24,17,9,12,7,9,18,12,22,26,8
"WESTERN AUSTRALIA","Medium SUV","Toyota","Toyota bZ4X","BEV",0,0,0,0,0,0,0,0,30,33,33,37,29,25,32,20,98
"WESTERN AUSTRALIA","Small SUV","Subaru","Subaru XV","ICE",177,206,204,186,97,12,1,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Leapmotor","Leapmotor B10","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"NEW SOUTH WALES","Van","Farizon","Farizon Supervan","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"QUEENSLAND","Sports Car","Mercedes-Benz","Mercedes-Benz SL-Class","ICE",0,0,0,0,0,3,1,4,5,2,1,0,3,3,2,0,0
"WESTERN AUSTRALIA","Medium SUV","BMW","BMW X4","ICE",22,18,21,11,21,15,13,13,9,19,16,9,3,10,14,10,5
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Lexus","Lexus LBX","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Mercedes-Benz","Mercedes-Benz EQB","BEV",0,0,1,3,1,6,15,8,2,3,3,4,2,8,6,1,0
"TASMANIA","Medium Car","Volkswagen","Volkswagen Passat","ICE",0,2,0,3,0,1,2,1,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Medium SUV","Leapmotor","Leapmotor C10","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,2,16,6,2,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Volkswagen","Volkswagen ID.4","BEV",0,0,0,0,0,0,0,0,0,0,0,0,5,0,41,31,42
"NEW SOUTH WALES","Large SUV","Deepal","Deepal E07","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,30,18
"NORTHERN TERRITORY","Ute (4WD)","Jeep","Jeep Gladiator","ICE",4,5,2,6,1,0,2,2,1,0,2,1,0,0,0,1,0
"QUEENSLAND","Large SUV","Porsche","Porsche Cayenne","ICE",50,59,42,46,70,42,69,44,41,51,58,36,46,53,55,52,0
"AUSTRALIAN CAPITAL TERRITORY","Medium Car","Toyota","Toyota Camry","Hybrid",54,8,23,15,14,19,46,30,51,74,30,17,21,26,54,29,26
"SOUTH AUSTRALIA","Medium SUV","Land Rover","Land Rover Discovery Sport","ICE",8,2,5,7,1,3,1,0,4,2,5,4,2,2,6,4,5
"NEW SOUTH WALES","Large SUV","BMW","BMW X5","ICE",229,316,272,218,381,225,316,355,223,362,215,262,216,350,215,264,210
"SOUTH AUSTRALIA","Medium SUV","Hyundai","Hyundai Tucson","Hybrid",0,0,0,0,0,0,0,0,0,1,93,207,157,142,178,234,283
"VICTORIA","Sports Car","Jaguar","Jaguar F-Type","ICE",1,3,2,0,3,0,1,1,6,0,2,2,1,2,1,2,0
"TASMANIA","Ute (4WD)","Mazda","Mazda BT-50","ICE",180,81,95,82,123,131,93,83,90,86,61,57,62,87,48,37,46
"VICTORIA","Ute (4WD)","Isuzu Ute","Isuzu Ute D-Max","ICE",979,1122,986,941,918,617,1689,1785,1277,1176,966,970,897,1113,936,828,831
"TASMANIA","Medium SUV","Land Rover","Land Rover Range Rover Evoque","PHEV",0,0,2,0,0,3,0,0,2,1,0,0,0,0,0,0,0
"TASMANIA","Medium SUV","Volkswagen","Volkswagen ID.5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2,5
"QUEENSLAND","Medium Car","Mercedes-Benz Cars","Mercedes-Benz C-Class","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","KGM","KGM Musso/MusXLV","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"QUEENSLAND","Large Car","Maserati","Maserati Ghibli","ICE",6,4,6,7,0,0,1,1,2,0,0,2,0,1,0,0,0
"SOUTH AUSTRALIA","Sports Car","Porsche","Porsche 911","ICE",5,15,2,6,4,11,13,9,19,17,12,9,5,11,11,12,19
"NORTHERN TERRITORY","Small SUV","Hyundai","Hyundai Inster","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"VICTORIA","Medium SUV","Audi","Audi Q4 e-tron","BEV",0,0,0,0,0,0,0,0,0,0,0,0,79,56,54,36,41
"SOUTH AUSTRALIA","Sports Car","BMW","BMW 2 Series Coupe/Conv","ICE",10,3,6,14,2,16,7,18,16,27,24,17,6,26,21,12,13
"AUSTRALIAN CAPITAL TERRITORY","Ute (2WD)","Mitsubishi","Mitsubishi Triton","ICE",12,10,11,2,4,2,1,1,5,2,4,13,7,1,3,10,5
"NEW SOUTH WALES","Large SUV","Land Rover","Land Rover Range Rover","ICE",4,18,20,29,34,73,109,57,46,100,79,46,26,48,41,23,20
"WESTERN AUSTRALIA","Van","Peugeot","Peugeot Partner","ICE",0,6,0,3,1,32,12,2,9,7,0,9,2,3,19,20,22
"NEW SOUTH WALES","Ute (2WD)","GWM","GWM Ute","ICE",6,16,17,4,0,19,24,11,21,14,18,10,4,0,0,0,0
"TASMANIA","Large SUV","Omoda Jaecoo","Omoda Jaecoo J8","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2
"VICTORIA","Small SUV","Lexus","Lexus UX","ICE",27,41,48,41,33,75,57,47,30,3,1,0,0,0,0,0,0
"QUEENSLAND","Van","Mercedes-Benz Vans","Mercedes-Benz Vito/eVito Van","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"VICTORIA","Small SUV","Kia","Kia Niro","PHEV",11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","GWM","GWM Tank 500","Hybrid",0,0,0,0,0,0,0,0,1,7,12,6,6,12,6,3,3
"NEW SOUTH WALES","Medium SUV","Hyundai","Hyundai Nexo","HFCEV",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TASMANIA","Large Car","MG","MG IM5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"VICTORIA","Medium SUV","Subaru","Subaru Forester","ICE",760,495,368,844,1063,689,936,1104,715,863,929,719,786,812,693,664,407
"TASMANIA","Ute (2WD)","GWM","GWM Ute","ICE",0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"NEW SOUTH WALES","Small SUV","BMW","BMW X1","ICE",186,395,188,102,68,291,529,312,219,151,133,150,257,324,282,346,239
"NEW SOUTH WALES","Sports Car","Toyota","Toyota GR86 / 86","ICE",1,0,26,41,45,89,124,105,48,29,35,66,68,58,58,54,51
"AUSTRALIAN CAPITAL TERRITORY","Large Car","Maserati","Maserati Ghibli","ICE",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"VICTORIA","Small SUV","Alfa Romeo","Alfa Romeo Tonale","PHEV",0,0,0,0,0,0,0,32,14,2,1,5,6,0,3,3,3
"WESTERN AUSTRALIA","Ute (2WD)","LDV","LDV eT60","BEV",0,0,0,0,4,4,5,3,1,0,0,0,0,0,0,0,0
"VICTORIA","Medium SUV","Tesla","Tesla Model Y","BEV",0,0,1446,1183,744,3245,2369,1085,1720,1613,1162,819,919,2241,2079,1536,1818
"NEW SOUTH WALES","Small SUV","Stellantis","Alfa Romeo Junior","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,9
"NEW SOUTH WALES","Large SUV","Kia","Kia Sorento","Hybrid",8,14,11,3,31,19,52,17,24,110,87,90,128,140,102,145,99
"NEW SOUTH WALES","Large SUV","GWM","GWM Tank 500","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,47,30
"QUEENSLAND","Large Car","Lexus","Lexus LS","Hybrid",0,0,0,0,1,2,0,0,1,1,0,0,0,0,2,1,0
"TASMANIA","Small SUV","Subaru","Subaru Crosstrek","Hybrid",0,0,0,0,0,3,5,7,8,12,9,4,5,9,11,8,3
"NEW SOUTH WALES","Medium SUV","Geely","Geely EX5","BEV",0,0,0,0,0,0,0,0,0,0,0,0,71,433,300,262,374
"VICTORIA","Large SUV","Lotus","Lotus Eletre","BEV",0,0,0,0,0,0,0,0,0,0,3,2,1,1,1,0,1
"QUEENSLAND","Small SUV","Chery","Chery C5/E5 & Omoda 5","BEV",0,0,0,0,0,0,0,0,0,0,14,31,35,51,54,37,61
"NORTHERN TERRITORY","Small SUV","Mercedes-Benz","Mercedes-Benz EQA","BEV",0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0
"NEW SOUTH WALES","Sports Car","Lotus","Lotus Elise","ICE",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Medium SUV","Mitsubishi","Mitsubishi Outlander","ICE",32,33,29,35,40,30,40,30,60,83,71,29,38,58,51,48,47
"WESTERN AUSTRALIA","Sports Car","Mercedes-Benz","Mercedes-Benz E-Class Cpe/Conv","ICE",5,4,4,1,1,2,2,1,1,0,0,0,0,0,0,0,0
"TASMANIA","Small SUV","MINI","MINI Countryman","ICE",5,1,3,1,2,2,1,1,0,5,6,2,6,6,5,4,3
"TASMANIA","Large SUV","Hyundai","Hyundai Palisade","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3
"VICTORIA","Medium SUV","Mazda","Mazda CX-60","ICE",0,0,0,0,0,16,245,213,156,198,276,173,284,333,351,386,324
"WESTERN AUSTRALIA","Medium SUV","Volvo","Volvo XC60","PHEV",0,3,15,17,5,16,11,4,5,12,11,19,6,1,10,11,0
"NORTHERN TERRITORY","Medium Car","Lexus","Lexus ES","ICE",0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0
"QUEENSLAND","Large SUV","BMW","BMW X7","ICE",35,45,38,25,53,34,31,27,31,39,28,39,27,31,45,38,27
"AUSTRALIAN CAPITAL TERRITORY","Large Car","Porsche","Porsche Panamera","ICE",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Small SUV","BYD","BYD Atto 2","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,56
"WESTERN AUSTRALIA","Large SUV","Hyundai","Hyundai Palisade","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,44
"TASMANIA","Van","Volkswagen","Volkswagen Caddy Cargo Van","ICE",0,0,0,0,0,0,0,0,0,2,4,2,6,3,7,5,10
"WESTERN AUSTRALIA","Small SUV","GWM","GWM Haval Jolion","Hybrid",0,0,10,35,49,62,62,91,136,63,119,125,126,82,165,145,183
"NEW SOUTH WALES","Medium SUV","Nissan","Nissan Ariya","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,14
"QUEENSLAND","Large SUV","Mercedes-Benz","Mercedes-Benz GLS-Class","ICE",19,32,64,20,17,35,28,14,11,17,29,18,27,28,35,30,0
"QUEENSLAND","Small Car","Hyundai","Hyundai Ioniq","PHEV",5,10,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","Chery","Chery Tiggo 4 Pro","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,17
"TASMANIA","Medium Car","Skoda","Skoda Octavia","ICE",10,9,1,6,6,6,10,4,8,4,3,3,3,1,6,7,5
"NEW SOUTH WALES","Large Car","Citroen","Citroen C5 X","ICE",0,0,0,34,6,14,9,3,3,11,4,0,1,0,0,0,0
"QUEENSLAND","Medium SUV","BMW","BMW IX3","BEV",19,34,40,11,11,42,32,27,48,44,44,38,27,17,1,0,0
"NORTHERN TERRITORY","Large SUV","Jaguar","Jaguar F-Pace","ICE",0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"SOUTH AUSTRALIA","Medium SUV","BYD","BYD Atto 3","BEV",0,0,0,134,122,287,169,203,151,107,75,68,23,88,51,52,59
"TASMANIA","Ute (4WD)","KGM","KGM Musso/MusXLV","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,30,21,22,14
"NORTHERN TERRITORY","Medium SUV","Mazda","Mazda CX-5","ICE",40,41,40,37,35,33,41,34,30,39,41,36,33,34,41,40,39
"AUSTRALIAN CAPITAL TERRITORY","Small SUV","BMW","BMW IX2","BEV",0,0,0,0,0,0,0,0,0,11,10,15,6,8,8,8,2
"NEW SOUTH WALES","Large Car","Lotus","Lotus Emeya","BEV",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SOUTH AUSTRALIA","Small Car","Hyundai","Hyundai i30","ICE",309,347,338,245,293,359,356,305,182,121,141,185,130,116,150,107,72
"SOUTH AUSTRALIA","Medium SUV","Peugeot","Peugeot 5008","ICE",3,2,0,1,0,2,1,1,0,1,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Medium SUV","GWM","GWM Haval H6","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Volkswagen","Volkswagen Polo","ICE",30,11,6,3,1,11,8,14,8,18,8,32,1,4,3,8,10
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","GWM","GWM Ute","ICE",7,29,31,29,26,23,16,25,21,17,14,9,16,0,0,0,0
"NEW SOUTH WALES","Medium Car","Mercedes-Benz Cars","Mercedes-Benz CLA-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"WESTERN AUSTRALIA","Medium SUV","MG","MG HS","ICE",160,238,282,200,140,119,53,119,158,111,163,260,112,160,180,70,54
"NEW SOUTH WALES","Large SUV","Toyota","Toyota Prado","ICE",1995,1435,1136,781,771,827,1526,2165,1090,135,5,1821,2418,2106,1752,1163,1224
"QUEENSLAND","Large SUV","Mercedes-Benz Cars","Mercedes-Benz G-Class","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"NORTHERN TERRITORY","Large SUV","Kia","Kia Sorento","ICE",3,10,11,13,16,15,8,11,11,22,8,5,7,15,10,2,5
"WESTERN AUSTRALIA","Large SUV","Mercedes-Benz","Mercedes-Benz EQE SUV","BEV",0,0,0,0,0,0,3,18,10,17,8,4,19,14,16,6,0
"WESTERN AUSTRALIA","Medium SUV","Leapmotor","Leapmotor C10","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4,0
"AUSTRALIAN CAPITAL TERRITORY","Van","Renault","Renault Kangoo","ICE",3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Mercedes-Benz Cars","Mercedes-Benz A-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"SOUTH AUSTRALIA","Medium SUV","Lexus","Lexus NX","PHEV",4,2,2,3,0,3,0,0,0,5,5,2,1,6,9,6,10
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Lamborghini","Lamborghini Urus","ICE",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"SOUTH AUSTRALIA","Sports Car","Mercedes-Benz","Mercedes-Benz CLE-Class","ICE",0,0,0,0,0,0,0,0,0,4,13,15,11,10,18,9,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","MG","MG HS","PHEV",11,11,10,12,12,17,13,19,4,5,8,3,4,0,2,2,1
"SOUTH AUSTRALIA","Large Car","Volvo Car","Volvo ES90","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"VICTORIA","Van","LDV","LDV eDeliver 7","BEV",0,0,0,0,0,0,0,0,4,12,4,9,2,6,3,1,1
"TASMANIA","Small SUV","Mazda","Mazda MX-30","BEV",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Medium SUV","Peugeot","Peugeot 408","ICE",0,0,0,0,0,0,4,0,1,0,0,0,5,3,3,4,0
"SOUTH AUSTRALIA","People Mover","Volkswagen","Volkswagen Caddy","ICE",4,5,0,0,1,2,0,6,1,8,7,3,2,3,4,1,1
"QUEENSLAND","Large SUV","Volkswagen","Volkswagen Touareg","ICE",12,39,52,68,38,43,32,28,32,27,27,21,23,13,21,17,11
"WESTERN AUSTRALIA","People Mover","Toyota","Toyota Granvia","ICE",8,4,5,5,1,2,2,2,3,4,5,2,2,1,0,0,0
"NEW SOUTH WALES","Ute (2WD)","Nissan","Nissan Navara","ICE",165,174,124,57,18,41,109,95,98,69,47,54,20,21,23,26,18
"NORTHERN TERRITORY","Medium SUV","Mercedes-Benz","Mercedes-Benz GLC-Class Wagon","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"VICTORIA","Medium Car","Mercedes-Benz","Mercedes-Benz CLA-Class","ICE",187,175,127,120,173,143,67,82,84,87,66,58,35,69,65,44,0
"NEW SOUTH WALES","Van","LDV","LDV G10/G10+","ICE",342,272,278,263,307,406,286,276,246,220,231,191,184,137,115,90,102
"VICTORIA","Large SUV","Mitsubishi","Mitsubishi Pajero Sport","ICE",509,485,397,451,405,260,91,578,571,449,291,246,238,226,305,265,245
"QUEENSLAND","Small SUV","Mercedes-Benz","Mercedes-Benz GLA-Class","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0
"QUEENSLAND","Small SUV","GWM","GWM Haval Jolion","Hybrid",0,0,51,178,192,252,247,224,246,264,331,315,256,294,353,299,304
"QUEENSLAND","Small Car","MINI","MINI Hatch","ICE",60,97,80,34,65,82,77,78,105,44,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Small Car","Suzuki","Suzuki Baleno","ICE",19,38,14,4,4,0,3,0,0,0,0,0,0,0,0,0,0
"SOUTH AUSTRALIA","Large SUV","Kia","Kia Sorento","ICE",63,137,155,167,225,160,102,71,152,181,128,100,158,154,85,74,54
"AUSTRALIAN CAPITAL TERRITORY","Van","Mercedes-Benz","Mercedes-Benz Vito/eVito Van","ICE",3,2,3,4,0,1,0,3,1,0,1,2,0,2,2,0,0
"VICTORIA","Medium SUV","Mercedes-Benz Cars","Mercedes-Benz GLB-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128
"NEW SOUTH WALES","Medium SUV","Peugeot","Peugeot 408","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0
"QUEENSLAND","Medium SUV","Nissan","Nissan X-Trail","Hybrid",0,0,0,21,51,131,136,153,196,278,160,152,178,197,345,221,311
"TASMANIA","Medium SUV","Polestar","Polestar 4","BEV",0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0
"NEW SOUTH WALES","Medium Car","Hyundai","Hyundai Ioniq 6","BEV",0,0,0,0,43,89,55,112,31,38,17,11,8,6,6,21,7
"SOUTH AUSTRALIA","Van","Volkswagen","Volkswagen Caddy Van","ICE",8,8,1,4,2,2,8,22,7,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","KGM","KGM Actyon","Hybrid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"WESTERN AUSTRALIA","Ute (4WD)","GWM","GWM Cannon/Cannon Alpha","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,15,83,98,64
"SOUTH AUSTRALIA","Sports Car","Audi","Audi A5","ICE",2,0,3,0,1,1,1,2,0,0,4,0,0,0,0,0,0
"VICTORIA","Sports Car","Ford","Ford Mustang","ICE",148,142,254,122,162,276,64,6,0,0,244,285,372,749,348,103,352
"QUEENSLAND","Small SUV","MINI","MINI Countryman","PHEV",5,17,11,12,31,41,38,10,1,0,0,0,0,0,0,0,0
"NORTHERN TERRITORY","Medium Car","Volkswagen","Volkswagen Passat","ICE",0,0,0,0,8,1,0,0,2,0,5,0,0,0,0,0,0
"QUEENSLAND","Small SUV","Mazda","Mazda CX-30","ICE",1070,770,800,430,601,737,730,636,583,624,678,569,619,697,599,480,579
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","MG","MG QS","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1
"NEW SOUTH WALES","Small Car","Mercedes-Benz Cars","Mercedes-Benz A-Class","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
"TASMANIA","Large SUV","Lexus","Lexus LX","ICE",0,0,0,2,4,4,2,0,2,0,0,2,0,3,2,1,0
"NORTHERN TERRITORY","Large Car","Audi","Audi A6","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"WESTERN AUSTRALIA","Medium Car","BMW","BMW 4 Series Gran Coupe","ICE",6,18,14,4,19,15,15,5,4,6,2,2,0,1,0,0,0
"WESTERN AUSTRALIA","Large SUV","Kia","Kia Sorento","PHEV",0,6,4,0,1,5,22,11,0,0,0,10,38,9,3,18,3
"WESTERN AUSTRALIA","Large Car","Rolls-Royce","Rolls-Royce Sedan","ICE",1,0,1,1,1,0,0,1,0,2,1,0,1,0,0,0,1
"VICTORIA","Medium SUV","CUPRA","CUPRA Terramar","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
"AUSTRALIAN CAPITAL TERRITORY","Medium Car","Hyundai","Hyundai Ioniq 6","BEV",0,0,0,0,4,18,3,8,5,4,3,0,0,4,0,8,0
"SOUTH AUSTRALIA","Large SUV","Hyundai","Hyundai Santa Fe","ICE",50,59,73,52,73,55,98,63,64,33,6,6,21,21,16,19,12
"VICTORIA","Medium SUV","Skoda","Skoda Elroq","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,50,50
"AUSTRALIAN CAPITAL TERRITORY","Ute (4WD)","GWM","GWM Cannon/Cannon Alpha","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,15,16
"VICTORIA","Medium SUV","Mercedes-Benz","Mercedes-Benz EQB","BEV",0,0,41,7,40,65,87,68,23,41,53,76,67,54,92,101,0
"VICTORIA","Small Car","Subaru","Subaru WRX","ICE",0,110,185,207,194,123,116,143,104,163,114,88,95,150,80,78,55
"QUEENSLAND","Sports Car","Lotus","Lotus Elise","ICE",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","Medium SUV","Zeekr","Zeekr 7X","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48
"AUSTRALIAN CAPITAL TERRITORY","Large SUV","Jaguar","Jaguar F-Pace","ICE",2,5,4,1,4,1,5,1,3,4,4,1,4,3,2,1,0
"WESTERN AUSTRALIA","Medium SUV","GWM","Haval H6","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,28,92,75,84,0
"SOUTH AUSTRALIA","Small SUV","Mercedes-Benz Cars","Mercedes-Benz EQA","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"QUEENSLAND","Large SUV","Jeep","Jeep Grand Cherokee","ICE",160,51,96,45,68,56,51,33,33,19,39,21,32,43,23,4,0
"NEW SOUTH WALES","Ute (4WD)","Kia","Kia Tasman","ICE",0,0,0,0,0,0,0,0,0,0,0,0,0,82,767,509,383
"NEW SOUTH WALES","Ute (2WD)","Toyota","Toyota Hilux","ICE",1226,1486,1766,1174,1082,892,1081,939,545,622,669,632,573,734,687,378,568
"TASMANIA","Medium SUV","Skoda","Skoda Elroq","BEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2
"WESTERN AUSTRALIA","Small SUV","Mazda","Mazda CX-30","ICE",493,299,344,229,305,298,352,254,285,307,314,251,281,244,268,207,193
"TASMANIA","Small SUV","Hyundai","Hyundai Kona","ICE",96,28,53,41,19,22,52,30,51,113,74,58,67,82,47,51,40
"SOUTH AUSTRALIA","Ute (4WD)","Nissan","Nissan Navara","ICE",236,142,103,107,126,101,104,114,178,123,111,106,107,120,79,44,84
"AUSTRALIAN CAPITAL TERRITORY","Van","Hyundai","Hyundai Staria Load","ICE",10,18,24,6,11,9,5,5,18,13,7,10,17,13,18,8,4
"TASMANIA","Ute (4WD)","Nissan","Nissan Navara","ICE",91,60,33,35,33,40,47,68,63,48,60,36,52,58,49,17,36
"SOUTH AUSTRALIA","Large Car","Mercedes-Benz","Mercedes-Benz CLS-Class","ICE",1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"TASMANIA","Small SUV","Renault","Renault Captur","ICE",12,7,3,4,3,7,3,7,1,3,0,0,0,0,0,0,0
"NEW SOUTH WALES","Large Car","Jaguar","Jaguar XF","ICE",1,3,0,0,0,1,1,0,2,1,1,0,0,0,0,0,0
"AUSTRALIAN CAPITAL TERRITORY","People Mover","Honda","Honda Odyssey","ICE",8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW SOUTH WALES","Sports Car","Aston Martin","Aston Martin Coupe/Conv","ICE",5,11,5,5,6,7,6,6,11,10,8,8,12,13,7,8,13
"WESTERN AUSTRALIA","Medium Car","Audi","Audi A5","PHEV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
"SOUTH AUSTRALIA","Small Car","BMW","BMW 2 Series Gran Coupe","ICE",14,12,18,3,6,7,14,9,10,4,3,4,3,6,8,9,4
"NEW SOUTH WALES","Large SUV","Hyundai","Hyundai Santa Fe","Hybrid",0,0,0,107,99,110,116,82,52,326,454,489,565,444,498,341,448
"SOUTH AUSTRALIA","Small Car","Hyundai","Hyundai i20","ICE",33,6,18,3,18,4,20,10,2,0,10,9,29,28,31,15,34
