OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,"120 Rouse St, Tenterfield, 2372",Tesla,2,AC,6 kW,-29.05959364,152.0178889,Tenterfield Shire Council,2372,Existing Destination Chargers
,,"1-21 Bay St, Sydney, 2037",Chargefox,3,AC,22 kW,-33.88362967,151.1939459,"Sydney, Council of the City of",2037,Existing Destination Chargers
,,"121 Howick St, Bathurst, 2795",Tesla,2,AC,6 kW,-33.41844249,149.5828599,Bathurst Regional Council,2795,Existing Destination Chargers
,,"121 Princes Hwy, Wollongong, 2519",Exploren,2,DC,60 kW,-34.40192697,150.8906517,Wollongong City Council,2519,Existing Fast Chargers
,Reflections Coffs Harbour,"123 Pacific Hwy
Coffs Harbour NSW 2450
Australia",Non-networked,4,AC,AC,-30.2930627,153.1200085,Coffs Harbour City Council,2450,Destination Charging R2
,,"123 Wharf St, Tweed Heads, 2485",Tesla,2,AC,14 kW,-28.17674579,153.5412843,Tweed Shire Council,2485,Existing Destination Chargers
,,"123 Wharf Street, Tweed Heads, 2485",Exploren,2,AC,22 kW,-28.17661866,153.5407868,Tweed Shire Council,2485,Existing Destination Chargers
,,"124 Wallace St, Nowra, 2541",Exploren,2,AC,22 kW,-34.88951556,150.6084865,Shoalhaven City Council,2541,Existing Destination Chargers
,,"126 Havannah St, Bathurst, 2795",Exploren,2,AC,20 kW,-33.42607312,149.5815506,Bathurst Regional Council,2795,Existing Destination Chargers
,,"126 Mackay Ave, Yoogali, 2680",Chargefox,1,DC,24 kW,-34.30172777,146.0826426,Griffith City Council,2680,Existing Fast Chargers
,,"127 Conadilly St, Gunnedah, 2380",Chargefox,4,DC,47 kW,-30.97681086,150.2501652,Gunnedah Shire Council,2380,Existing Fast Chargers
,,"128 Bonnydoon Rd, Uki, 2484",Tesla,2,AC,22 kW,-28.4045526,153.3516617,Tweed Shire Council,2484,Existing Destination Chargers
,,"128 Flood Street, Leichhardt NSW 2040",Evie,4,DC,75 kW,-33.88518,151.148629,Inner West Council,2040,ARENA - Driving the Nation
,,"1-3 Dural St, Hornsby NSW 2077",Evie,4,DC,50 kW,-33.70276181,151.0964792,"Hornsby, The Council of the Shire of",2077,ARENA - Driving the Nation
,,"13 Kalinya Street, Sydney, 2106",Exploren,1,AC,22 kW,-33.65882187,151.3096537,Northern Beaches Council,2106,Existing Destination Chargers
