OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source
,,"266 Johnston St
Annandale NSW 2038
Australia",PLUS ES,1,AC,22 kW,-33.8749694,151.1732067,Inner West Council,2038,Kerbside Charging R1
,,"267 Maroubra Rd
Maroubra NSW 2035
Australia",PLUS ES,1,AC,7 kW,-33.9424313,151.2427991,Randwick City Council,2035,Kerbside Charging R1
,,"27 Bennett St
Bondi NSW 2026
Australia",PLUS ES,1,AC,7 kW,-33.8953838,151.2600613,Waverley Council,2026,Kerbside Charging R1
,,"27 Campbell Pde
Manly Vale NSW 2093
Australia",EVX,2,AC,22 kW,-33.7814631,151.2707417,Northern Beaches Council,2093,Kerbside Charging R1
,,"270 Johnston St
Annandale NSW 2038
Australia",PLUS ES,1,AC,22 kW,-33.874576,151.1734268,Inner West Council,2038,Kerbside Charging R1
,,"272 Johnston St
Annandale NSW 2038
Australia",PLUS ES,1,AC,22 kW,-33.8743184,151.1733625,Inner West Council,2038,Kerbside Charging R1
,,"276 Birrell St
Bondi NSW 2026
Australia",PLUS ES,1,AC,7 kW,-33.8970528,151.2607049,Waverley Council,2026,Kerbside Charging R1
,Club Maitland City,"279 New England Hwy
Rutherford NSW 2320
Australia",EVNet,2,AC,AC,-32.7172344,151.5254651,Maitland City Council,2320,Destination Charging R1
,RIKARD Wines,"279 Old Canobolas Rd
Nashdale NSW 2800
Australia",Exploren,2,AC,AC,-33.3169464,148.9858426,Cabonne Council,2800,Destination Charging R2
,,"28 Kenneth St
Tamarama NSW 2026
Australia",Chargefox,2,AC,22 kW,-33.898383,151.274253,Waverley Council,2026,Kerbside Charging R1
,,"2-8 Turramurra Ave
Turramurra NSW 2074
Australia",Evie Networks,4,DC,75 kW,-33.732342,151.1304142,Ku-ring-gai Council,2074,Kerbside Charging R1
,,"284 Old South Head Rd
Watsons Bay NSW 2030
Australia",EVX,2,AC,22 kW,-33.8467366,151.2836756,Woollahra Municipal Council,2030,Kerbside Charging R1
,,"287 Ramsay St
Haberfield NSW 2045
Australia",PLUS ES,1,AC,22 kW,-33.8735025,151.1336508,Inner West Council,2045,Kerbside Charging R1
,Five Mile Hotel,"289 Armidale Rd
South Grafton NSW 2460
Australia",Non-networked,4,AC,AC,-29.734395,152.9400538,Clarence Valley Council,2460,Destination Charging R2
,Moruya Golf Club ,"28A Evans St
Moruya NSW 2537
Australia",Non-networked,2,AC,AC,-35.9140608,150.0752376,Eurobodalla Shire Council,2537,Destination Charging R1
,,"29 Carrington Road
Waverley NSW 2024
Australia",EVX,2,AC,22 kW,-33.8986388,151.2530464,Waverley Council,2024,Kerbside Charging R1
,,"29 Day St
Leichhardt NSW 2040
Australia",PLUS ES,1,AC,7 kW,-33.8844318,151.1550948,Inner West Council,2040,Kerbside Charging R1
,,"29 Perry St, Euston NSW 2737, Australia",NRMA,4,DC,175 kW,-34.5765963,142.7428195,Balranald Shire Council,2737,Fast Charging R1
,Sapphire Valley Caravan Park,"29 Sapphire Coast Dr
Merimbula NSW 2548
Australia",EVUp,6,AC,AC,-36.8842524,149.9045325,Bega Valley Shire Council,2548,Destination Charging R1
,Kyogle Council,"29 Woodenbong Rd
Bonalbo NSW 2469
Australia",Exploren,2,AC,AC,-28.7386099,152.6283683,Kyogle Council,2469,Destination Charging R1
,291 on King,"291 King St
Newcastle NSW 2300
Australia",Charge Hub,4,AC,AC,-32.9288327,151.7679962,Newcastle City Council,2300,Destination Charging R2
,Hanging Tree Wines,"294 O'Connors Rd
Pokolbin NSW 2320
Australia",Chargefox,2,AC,AC,-32.808154,151.3179387,Cessnock City Council,2320,Destination Charging R1
,,"2A Central St
Naremburn NSW 2065
Australia",EVX,2,AC,22 kW,-33.8160598,151.2013094,Willoughby City Council,2065,Kerbside Charging R1
,,"2A Frances St
Randwick NSW 2031
Australia",PLUS ES,1,AC,22 kW,-33.9102062,151.2368764,Randwick City Council,2031,Kerbside Charging R1
,,"2A Liverpool St
Rose Bay NSW 2029
Australia",PLUS ES,1,AC,22 kW,-33.8750114,151.2730705,Waverley Council,2029,Kerbside Charging R1
,Redhead Beach Carpark,"2B Beach Rd
Redhead NSW 2290
Australia",Everty,2,AC,AC,-33.0141162,151.7168291,Lake Macquarie City Council,2290,Destination Charging R2
,Club Lithgow,"2C Lithgow St
Lithgow NSW 2790
Australia",EVSE,4,AC,AC,-33.4853431,150.1520203,"Lithgow Council, City of",2790,Destination Charging R2
,The Entrance Leagues Club,"3 Bay Village Rd
Bateau Bay NSW 2261
Australia",Exploren,4,AC,AC,-33.3773813,151.4733724,Central Coast Council,2261,Destination Charging R1
,,"3 Botany St
Bondi Junction NSW 2022
Australia",PLUS ES,1,AC,22 kW,-33.8933419,151.2539399,Waverley Council,2022,Kerbside Charging R1
,,"3 Carlton St
Kensington NSW 2033
Australia",PLUS ES,1,AC,7 kW,-33.9056579,151.2256581,Randwick City Council,2033,Kerbside Charging R1
,,"3 Gladstone St
Newtown NSW 2042
Australia",PLUS ES,1,AC,22 kW,-33.8975353,151.1750044,Inner West Council,2042,Kerbside Charging R1
,,"3 Wardell Rd
Lewisham NSW 2049
Australia",PLUS ES,1,AC,7 kW,-33.8973542,151.1490328,Inner West Council,2049,Kerbside Charging R1
,,"3 Weston St
Balmain East NSW 2041
Australia",EVX,2,AC,22 kW,-33.8573832,151.1953325,Inner West Council,2041,Kerbside Charging R1
,,"3 William St
Randwick NSW 2031
Australia",PLUS ES,1,AC,7 kW,-33.9072495,151.2348588,Randwick City Council,2031,Kerbside Charging R1
,Muswellbrook Accommodation,"3/47 Scott St
Muswellbrook NSW 2333
Australia",Smart Charge,1,AC,AC,-32.2579664,150.8853927,Muswellbrook Shire Council,2333,Destination Charging R2
,Corowa RSL Club ,"30 Betterment Pde
Corowa NSW 2646
Australia",Elanga,4,AC,AC,-35.9952414,146.3860076,Federation Council,2646,Destination Charging R1
,Lake Macquarie Council,"30 Gommera St
Blacksmiths NSW 2281
Australia",Everty,3,AC,AC,-33.08079,151.6520571,Lake Macquarie City Council,2281,Destination Charging R1
,,"30 Hill St
Marrickville NSW 2204
Australia",EVE Australia,4,AC,22 kW,-33.917825,151.1456355,Inner West Council,2204,Kerbside Charging R1
,,"30 Little St
Lane Cove NSW 2066
Australia",PLUS ES,1,AC,7 kW,-33.8156081,151.1716817,Lane Cove Municipal Council,2066,Kerbside Charging R1
,,"30 Military Road
North Bondi NSW 2026
Australia",EVX,2,AC,22 kW,-33.8857701,151.2842064,Waverley Council,2026,Kerbside Charging R1
,,"30 The Esplanade
Narrabeen NSW 2101
Australia",EVX,2,AC,22 kW,-33.7195338,151.2888594,Northern Beaches Council,2101,Kerbside Charging R1
,Orange Botanic Gardens,"300 Hill St
Orange NSW 2800
Australia",Exploren,4,AC,AC,-33.2562881,149.0975511,Orange City Council,2800,Destination Charging R2
,Ingenia Holiday Park - Ulladulla,"300 Kings Point Dr
Ulladulla NSW 2539
Australia",Exploren,4,AC,AC,-35.3729386,150.4636728,Shoalhaven City Council,2539,Destination Charging R2
,Antikvorem ,"3020 Old Hume Hwy
Berrima NSW 2577
Australia",Elanga,8,AC,AC,-34.4656894,150.3623985,Wingecarribee Shire Council,2577,Destination Charging R1
,,"31 Boronia St
Kensington NSW 2033
Australia",PLUS ES,1,AC,7 kW,-33.9062996,151.2231535,Randwick City Council,2033,Kerbside Charging R1
,,"31 Cobra St
Dubbo NSW 2830
Australia",Exploren,2,AC,AC,-32.2538679,148.602311,Dubbo Regional Council,2830,Destination Charging R1
,The Mudgee Homestead Guesthouse,"31 Coorumbene Rd
Buckaroo NSW 2850
Australia",EVUp,2,AC,AC,-32.5575824,149.6503239,Mid-Western Regional Council,2850,Destination Charging R1
,,"31 Diamond Bay Rd
Vaucluse NSW 2030
Australia",PLUS ES,1,AC,7 kW,-33.8618419,151.2807593,Waverley Council,2030,Kerbside Charging R1
,,"31 Duxford St
Paddington NSW 2021
Australia",PLUS ES,1,AC,22 kW,-33.8832219,151.2290743,Woollahra Municipal Council,2021,Kerbside Charging R1
,,"31 Mallett St
Camperdown NSW 2050
Australia",PLUS ES,1,AC,7 kW,-33.887359,151.1765863,"Sydney, Council of the City of",2050,Kerbside Charging R1
,,"31 Moate St
Georgetown NSW 2298
Australia",Chargefox,2,DC,60 kW,-32.90876,151.7296847,Newcastle City Council,2298,Kerbside Charging R1
,Strikes,"31 Strikes Ln
Eurunderee NSW 2850
Australia",Noodoe,3,AC,AC,-32.5220206,149.6135511,Mid-Western Regional Council,2850,Destination Charging R2
,CH Boutique Apartments The Ringers Road,"31 The Ringers Rd
Hillvue NSW 2340
Australia",Noodoe,2,AC,AC,-31.1277097,150.9203955,Tamworth Regional Council,2340,Destination Charging R2
,,"32 Belmore St
Enmore NSW 2042
Australia",PLUS ES,1,AC,7 kW,-33.8983449,151.1724925,Inner West Council,2042,Kerbside Charging R1
,,"32 Liverpool St
Rose Bay NSW 2029
Australia",PLUS ES,1,AC,7 kW,-33.875252,151.2749572,Waverley Council,2029,Kerbside Charging R1
,,"32 Riverstone Pde
Riverstone NSW 2765
Australia",EVX,2,AC,22 kW,-33.6779251,150.8606246,Blacktown City Council,2765,Kerbside Charging R1
,,"322 Bourke St
Surry Hills NSW 2010
Australia",EVX,2,AC,22 kW,-33.8820009,151.2166446,"Sydney, Council of the City of",2010,Kerbside Charging R1
,,"326 Birrell St
Bondi NSW 2026
Australia",PLUS ES,1,AC,7 kW,-33.8975861,151.264592,Waverley Council,2026,Kerbside Charging R1
,Narara Ecovillage,"33 Gugandi Rd
Narara NSW 2250
Australia",EVSE,3,AC,AC,-33.3931163,151.3286306,Central Coast Council,2250,Destination Charging R2
,The Bay Hotel,"330 Fishery Point Rd
Bonnells Bay NSW 2264
Australia",EVSE,2,AC,AC,-33.1110339,151.5322174,Lake Macquarie City Council,2264,Destination Charging R2
,Nimbo Fork Lodge,"330 Nimbo Rd
Killimicat NSW 2720
Australia",Everty,2,AC,AC,-35.190695,148.20606,Snowy Valleys Council,2720,Destination Charging R2
,Four Cats Coffee,"33-35 Warne St
Wellington NSW 2820
Australia",Chargefox,4,AC,AC,-32.5515142,148.9421831,Dubbo Regional Council,2820,Destination Charging R2
,,"34 Chandos St
Ashfield NSW 2131
Australia",PLUS ES,1,AC,7 kW,-33.883434,151.128646,Inner West Council,2131,Kerbside Charging R1
,,"34 Myra Rd
Dulwich Hill NSW 2203
Australia",EVE Australia,2,AC,22 kW,-33.9079415,151.1356726,Inner West Council,2203,Kerbside Charging R1
,,"34 Spencer St
Rose Bay NSW 2029
Australia",PLUS ES,1,AC,22 kW,-33.8697722,151.2747449,Woollahra Municipal Council,2029,Kerbside Charging R1
,,"34C Taylor St
Annandale NSW 2038
Australia",EVX,2,AC,22 kW,-33.8833648,151.1742876,Inner West Council,2038,Kerbside Charging R1
,,"35 Diamond Bay Rd
Vaucluse NSW 2030
Australia",PLUS ES,1,AC,7 kW,-33.8613437,151.2805579,Waverley Council,2030,Kerbside Charging R1
,,"35 Fitzroy St
Marrickville NSW 2204
Australia",EVX,2,AC,22 kW,-33.9096267,151.1658699,Inner West Council,2204,Kerbside Charging R1
,,"35 Gould Ave
Lewisham NSW 2049
Australia",PLUS ES,1,AC,22 kW,-33.8995583,151.1471696,Inner West Council,2049,Kerbside Charging R1
,,"35 Holmwood St
Newtown NSW 2042
Australia",PLUS ES,1,AC,22 kW,-33.9040698,151.178539,Inner West Council,2042,Kerbside Charging R1
,Bendalong (Manchester Lane Nashdale),"35 Manchester Ln
Nashdale NSW 2800
Australia",EVSE,1,AC,AC,-33.3036809,149.0392395,Cabonne Council,2800,Destination Charging R2
,,"35 Metropolitan Rd
Enmore NSW 2042
Australia",PLUS ES,1,AC,22 kW,-33.9005438,151.1721734,Inner West Council,2042,Kerbside Charging R1
,JETTY MOTEL THE ENTRANCE,"353 The Entrance Rd
Long Jetty NSW 2261
Australia",EVUp,3,AC,AC,-33.3542628,151.4872987,Central Coast Council,2261,Destination Charging R1
,,"35-37 Ocean St
Bondi NSW 2026
Australia",Chargefox,2,AC,22 kW,-33.8922308,151.2623152,Waverley Council,2026,Kerbside Charging R1
,Gowing Bros ,"35-61 Harbour Dr
Coffs Harbour NSW 2450
Australia",Smart Charge,2,AC,AC,-30.2970627,153.115799,Coffs Harbour City Council,2450,Destination Charging R1
,Tamburlaine Organic Wines,"358 McDonalds Rd
Pokolbin NSW 2320
Australia",EVNet,2,AC,AC,-32.7821954,151.29988,Cessnock City Council,2320,Destination Charging R2
,,"36 Hopewell St
Paddington NSW 2021
Australia",EVX,2,AC,22 kW,-33.8823149,151.221981,Woollahra Municipal Council,2021,Kerbside Charging R1
,,"36 Napier St
Paddington NSW 2021
Australia",EVX,2,AC,22 kW,-33.8831409,151.2199952,"Sydney, Council of the City of",2021,Kerbside Charging R1
,Orange Waratah Sports Club ,"36 Telopea Way
Orange NSW 2800
Australia",Exploren,2,AC,AC,-33.2492129,149.1016696,Orange City Council,2800,Destination Charging R1
,Rosevale,"361 Rankin St
Bathurst NSW 2795
Australia",Exploren,2,AC,AC,-33.4225787,149.5653976,Bathurst Regional Council,2795,Destination Charging R2
,,"363-367 Bronte Rd, Bronte, NSW, 2024, Australia",EVX,2,AC,22 kW,-33.9033078,151.2606162,Waverley Council,2024,Kerbside Charging R1
,,"36R Dudley St
Randwick NSW 2031
Australia",EVX,2,AC,22 kW,-33.9234885,151.2490438,Randwick City Council,2031,Kerbside Charging R1
,Goulburn Health Hub,"37 Ross St
Goulburn NSW 2580
Australia",Non-networked,1,AC,AC,-34.7313527,149.7434487,Goulburn Mulwaree Council,2580,Destination Charging R2
,,"374 Peel St, Tamworth NSW 2340, Australia",Evie Networks,4,DC,175 kW,-31.0900932,150.9304748,Tamworth Regional Council,2340,Fast Charging R1
,Dunedoo Bowling Club Carpark,"39 Cobborah St
Dunedoo NSW 2844
Australia",Charge OS,2,AC,AC,-32.0184447,149.3965287,Warrumbungle Shire Council,2844,Destination Charging R2
,,"39 Dulwich St
Dulwich Hill NSW 2203
Australia",PLUS ES,1,AC,22 kW,-33.9030203,151.141805,Inner West Council,2203,Kerbside Charging R1
,,"39 Grove St
Birchgrove NSW 2041
Australia",EVX,2,AC,22 kW,-33.8515305,151.1817991,Inner West Council,2041,Kerbside Charging R1
,,"3-9 Spring St
Chatswood NSW 2067
Australia",EVX,2,AC,22 kW,-33.796827,151.185229,Willoughby City Council,2067,Kerbside Charging R1
,,"392 Manns Road, West Gosford NSW 2250 Australia",Tesla,12,DC,175 kW,-33.4258966,151.3205356,Central Coast Council,2250,Fast Charging R1
,,"396 Mowbray Rd
Lane Cove North NSW 2066
Australia",PLUS ES,1,AC,22 kW,-33.8065466,151.1757967,Lane Cove Municipal Council,2066,Kerbside Charging R1
,Centrepoint Motel Deniliquin,"399 Cressy St
Deniliquin NSW 2710
Australia",EVUp,3,AC,AC,-35.5265736,144.9616568,Edward River Council,2710,Destination Charging R1
,,"3A Cowell St
Gladesville NSW 2111
Australia",Evie Networks,2,DC,75 kW,-33.8329216,151.1276887,"Hunters Hill, The Council of the Municipality of",2111,Kerbside Charging R1
,,"3A Hunter St
Stockton NSW 2295
Australia",Chargefox,4,AC,7 kW,-32.9193026,151.783,Newcastle City Council,2295,Kerbside Charging R1
,Batemans Bay Soldiers Club,"4 Beach Rd
Batemans Bay NSW 2536
Australia",Exploren,2,AC,AC,-35.7094784,150.1790805,Eurobodalla Shire Council,2536,Destination Charging R1
,,"4 Defries Ave, Sydney, 2017",Chargefox,2,AC,22 kW,-33.90527032,151.2130891,"Sydney, Council of the City of",2017,Existing Destination Chargers
,,"4 Guihen St
Annandale NSW 2038
Australia",PLUS ES,1,AC,22 kW,-33.8847854,151.1753541,Inner West Council,2038,Kerbside Charging R1
,Ingenia Holiday Park - Hunter Valley,"137 Mount View Rd
Cessnock NSW 2325
Australia",Exploren,2,AC,AC,-32.8314976,151.3381546,Cessnock City Council,2325,Destination Charging R1
,,"4 Stanley St
Queens Park NSW 2022
Australia",PLUS ES,1,AC,22 kW,-33.895942,151.2478041,Waverley Council,2022,Kerbside Charging R1
,,"40 Albert Pde
Ashfield NSW 2131
Australia",EVE Australia,4,AC,22 kW,-33.8829391,151.1223655,Inner West Council,2131,Kerbside Charging R1
,,"40 Malakoff St
Marrickville NSW 2204
Australia",EVE Australia,2,AC,22 kW,-33.9079019,151.1568005,Inner West Council,2204,Kerbside Charging R1
,,"402 Mowbray Rd
Lane Cove North NSW 2066
Australia",PLUS ES,1,AC,7 kW,-33.8067172,151.1750156,Lane Cove Municipal Council,2066,Kerbside Charging R1
,Harvest Lodge Motel,"404 Conadilly St
Gunnedah NSW 2380
Australia",EVSE,1,AC,AC,-30.9836392,150.2640469,Gunnedah Shire Council,2380,Destination Charging R2
,Village Fair Maitland Plaza ,"405 High St
Maitland NSW 2320
Australia",Exploren,4,AC,AC,-32.733865,151.5561263,Maitland City Council,2320,Destination Charging R1
,,"407 New Canterbury Rd
Dulwich Hill NSW 2203
Australia",EVE Australia,2,AC,22 kW,-33.9024959,151.1438409,Inner West Council,2203,Kerbside Charging R1
,The Lane Retreat,"409 Palmers Ln
Pokolbin NSW 2320
Australia",Chargefox,2,AC,AC,-32.7539269,151.298235,Cessnock City Council,2320,Destination Charging R2
,,"41 Owen St
Huskisson NSW 2540
Australia",Everty,2,AC,AC,-35.0383366,150.6692483,Shoalhaven City Council,2540,Destination Charging R2
,,"41 St Marks Rd
Randwick NSW 2031
Australia",PLUS ES,1,AC,7 kW,-33.9104758,151.2471189,Randwick City Council,2031,Kerbside Charging R1
,Siesta Unit Trust,"416 Wagga Rd
Lavington NSW 2641
Australia",Chargefox,4,AC,AC,-36.0458866,146.9437845,Albury City Council,2641,Destination Charging R1
,,"42 Carrington Pde
Curl Curl NSW 2096
Australia",EVX,2,AC,22 kW,-33.773966,151.2918253,Northern Beaches Council,2096,Kerbside Charging R1
,Gowing Bros,"42 Horton St
Port Macquarie NSW 2444
Australia",Smart Charge,2,AC,AC,-31.429928,152.909968,Port Macquarie-Hastings Council,2444,Destination Charging R1
,Cellar Door,"42 Lake Canobolas Rd
Nashdale NSW 2800
Australia",Non-networked,2,AC,AC,-33.2990773,149.0193866,Cabonne Council,2800,Destination Charging R2
,,"42 New Beach Rd, Darling Point, NSW, 2027",Chargefox,2,AC,7 kW,-33.8733988,151.2352733,Woollahra Municipal Council,2027,Kerbside Charging R1
,,"424 Hoxton Park Rd, Prestons, NSW, 2170",NRMA,4,DC,175 kW,-33.9304674,150.8750193,Liverpool City Council,2170,Fast Charging R1
,Cabins in the Clouds,"424 Moonabung Rd
Vacy NSW 2421
Australia",Chargefox,4,AC,AC,-32.5423289,151.5011005,Dungog Shire Council,2421,Destination Charging R2
,Ingenia Holiday Parks - One Mile Beach,"426 Gan Gan Rd
One Mile NSW 2316
Australia",Exploren,4,AC,AC,-32.7769383,152.1139955,Port Stephens Council,2316,Destination Charging R2
,,"429 Old South Head Rd
Rose Bay NSW 2029
Australia",EVX,2,AC,22 kW,-33.8786168,151.2707053,Waverley Council,2029,Kerbside Charging R1
,Wagga Wagga City Council,"43 Eastlake Dr
Lake Albert NSW 2650
Australia",Smart Charge,2,AC,AC,-35.1710992,147.3789989,Wagga Wagga City Council,2650,Destination Charging R1
,Emma's Cottage,"438 Wilderness Rd
Lovedale NSW 2325
Australia",Chargefox,1,AC,AC,-32.742285,151.3477018,Cessnock City Council,2325,Destination Charging R2
,,"44 Anderson St
Chatswood NSW 2067
Australia",EVX,2,AC,22 kW,-33.7935075,151.181598,Willoughby City Council,2067,Kerbside Charging R1
,Ballina Beach Nature Resort,"440 SOUTH BALLINA BEACH ROAD
South Ballina NSW 2478
Australia",Non-networked,2,AC,AC,-28.8853915,153.5684392,Ballina Shire Council,2478,Destination Charging R2
,Eden Beachfront,"441 Princes Hwy
Eden NSW 2551
Australia",Exploren,4,AC,AC,-37.0770249,149.8753876,Bega Valley Shire Council,2551,Destination Charging R2
,,"442-446 Edgecliff Rd
Edgecliff NSW 2027
Australia",PLUS ES,1,AC,7 kW,-33.8800002,151.2392159,Woollahra Municipal Council,2027,Kerbside Charging R1
,Talbingo Tourist Park,"45 Whitty St
Talbingo NSW 2720
Australia",Noodoe,2,AC,AC,-35.584137,148.2942372,Snowy Valleys Council,2720,Destination Charging R2
,Imperial Hotel,"458 High St
Maitland NSW 2320
Australia",Chargefox,2,AC,AC,-32.7310145,151.5535602,Maitland City Council,2320,Destination Charging R1
,Young Services Club,"46 Cloete St
Young NSW 2594
Australia",Chargefox,4,AC,AC,-34.314891,148.29643,Hilltops Council,2594,Destination Charging R2
,Ingenia Holiday Parks - Merry Beach,"46 Merry Beach Rd
Kioloa NSW 2539
Australia",Exploren,4,AC,AC,-35.5654089,150.3719759,Shoalhaven City Council,2539,Destination Charging R2
,,"46 Wynter St, Taree NSW 2430, Australia",Tesla,12,DC,175 kW,-31.9091185,152.4602815,Mid-Coast Council,2430,Fast Charging R1
,,"47-49 Archer St
Chatswood NSW 2067
Australia",EVX,2,AC,22 kW,-33.7979339,151.1868143,Willoughby City Council,2067,Kerbside Charging R1
,,"47-49A Cleary St
Hamilton NSW 2303
Australia",Chargefox,2,DC,60 kW,-32.9212044,151.7479743,Newcastle City Council,2303,Kerbside Charging R1
,,477 Coolac Rd Coolac NSW 2727 Australia,Tesla,12,DC,175 kW,-34.9244264,148.1654233,Cootamundra-gundagai Regional Council,2727,Fast Charging R1
,Federation of Community Sporting and Workers Clubs Limited,"48 Marine Dr
Fingal Bay NSW 2315
Australia",EVUp,1,AC,AC,-32.7424216,152.1692232,Port Stephens Council,2315,Destination Charging R1
,Oberon Visitor Information Centre,"48 Ross St
Oberon NSW 2787
Australia",CasaCharge,2,AC,AC,-33.7087529,149.8577918,Oberon Council,2787,Destination Charging R2
,,"481 Pacific Hwy, Wyoming NSW 2250, Australia",BP,6,DC,175 kW,-33.4082245,151.3511059,Central Coast Council,2250,Fast Charging R1
,Leisure Inn Pokolbin,"485 McDonalds Road
Pokolbin NSW 2320
Australia",Exploren,4,AC,AC,-32.7715135,151.3024314,Singleton Council,2320,Destination Charging R2
,Talbingo Shopping Centre,"49 Lampe St
Talbingo NSW 2720
Australia",Chargefox,4,AC,AC,-35.5825247,148.2978515,Snowy Valleys Council,2720,Destination Charging R2
,,"49 Llandaff St
Bondi Junction NSW 2022
Australia",PLUS ES,1,AC,22 kW,-33.8937667,151.2532909,Waverley Council,2022,Kerbside Charging R1
,,"49A Bondi Rd
Bondi Junction NSW 2022
Australia",Chargefox,2,AC,22 kW,-33.8932917,151.256561,Waverley Council,2022,Kerbside Charging R1
,Forster Visitor Information Centre,"4A Lake St
Forster NSW 2428
Australia",Exploren,4,AC,AC,-32.1830335,152.5147744,Mid-Coast Council,2428,Destination Charging R2
,,"5 Broughton Rd
Artarmon NSW 2064
Australia",EVX,2,AC,22 kW,-33.8093616,151.1826022,Willoughby City Council,2064,Kerbside Charging R1
,Bella Vista Motel,"5 Central Coast Hwy
Kariong NSW 2250
Australia",EVNet,3,AC,AC,-33.434931,151.2976021,Central Coast Council,2250,Destination Charging R1
,Cessnock Hospitality Group,"5 Darwin St
Cessnock NSW 2325
Australia",Everty,4,AC,AC,-32.8349119,151.3533302,Cessnock City Council,2325,Destination Charging R1
,,"5 Grove St
Dulwich Hill NSW 2203
Australia",PLUS ES,1,AC,7 kW,-33.901384,151.1397505,Inner West Council,2203,Kerbside Charging R1
,Club Charlestown,"5 Lincoln St
Charlestown NSW 2290
Australia",Exploren,4,AC,AC,-32.9670483,151.6925911,Lake Macquarie City Council,2290,Destination Charging R1
,,"5 Pearson St
Balmain East NSW 2041
Australia",PLUS ES,1,AC,22 kW,-33.858114,151.195082,Inner West Council,2041,Kerbside Charging R1
,,"5 Portland St
Dover Heights NSW 2030
Australia",Chargefox,2,AC,22 kW,-33.8688426,151.2799449,Waverley Council,2030,Kerbside Charging R1
,,"5 Robey St
Maroubra NSW 2035
Australia",PLUS ES,1,AC,22 kW,-33.9423922,151.2379861,Randwick City Council,2035,Kerbside Charging R1
,,"50 Cascade St
Paddington NSW 2021
Australia",EVX,2,AC,22 kW,-33.8835108,151.2313866,Woollahra Municipal Council,2021,Kerbside Charging R1
,,"50 Chandos St
Ashfield NSW 2131
Australia",PLUS ES,1,AC,22 kW,-33.8828487,151.1301381,Inner West Council,2131,Kerbside Charging R1
,,"50 Cook St
Randwick NSW 2031
Australia",PLUS ES,1,AC,7 kW,-33.911692,151.2388648,Randwick City Council,2031,Kerbside Charging R1
,Wagga Wagga City Council,"50 Edward St
Wagga Wagga NSW 2650
Australia",Smart Charge,2,AC,AC,-35.1199091,147.3713272,Wagga Wagga City Council,2650,Destination Charging R1
,,"50 Nelson St
Annandale NSW 2038
Australia",PLUS ES,1,AC,22 kW,-33.8851809,151.1719428,Inner West Council,2038,Kerbside Charging R1
,,"50 O'Sullivan Rd
Rose Bay NSW 2029
Australia",Chargefox,2,AC,22 kW,-33.8790379,151.2631086,Woollahra Municipal Council,2029,Kerbside Charging R1
,,"51 Albert St
Petersham NSW 2049
Australia",EVE Australia,2,AC,22 kW,-33.8970775,151.1579942,Inner West Council,2049,Kerbside Charging R1
,"Bathurst Street, Condobolin","51 Bathurst St
Condobolin NSW 2877
Australia",Exploren,2,AC,AC,-33.0886001,147.1494866,Lachlan Shire Council,2877,Destination Charging R2
,West Wallsend Workers club,"51 Carrington St
West Wallsend NSW 2286
Australia",Smart Charge,4,AC,AC,-32.9023363,151.5824271,Lake Macquarie City Council,2286,Destination Charging R1
,Select Inn Gosford,"512 Pacific Hwy
Wyoming NSW 2250
Australia",EVNet,2,AC,AC,-33.406527,151.350605,Central Coast Council,2250,Destination Charging R2
,Happy Hallidays,"517 Blackhead Rd
Hallidays Point NSW 2430
Australia",Exploren,4,AC,AC,-32.0655014,152.5322484,Mid-Coast Council,2430,Destination Charging R2
,CH Boutique Hotel,"52 Brisbane St
Tamworth NSW 2340
Australia",Noodoe,4,AC,AC,-31.0894928,150.9297765,Tamworth Regional Council,2340,Destination Charging R2
,,"52 Dudley St
Coogee NSW 2034
Australia",PLUS ES,1,AC,22 kW,-33.9243788,151.251526,Randwick City Council,2034,Kerbside Charging R1
,Uralla Bowlo,"52 Hill St
Uralla NSW 2358
Australia",EVSE,4,AC,AC,-30.6391603,151.4983676,Uralla Shire Council,2358,Destination Charging R2
,,"52 Spencer St
Rose Bay NSW 2029
Australia",PLUS ES,1,AC,22 kW,-33.8690157,151.2750076,Woollahra Municipal Council,2029,Kerbside Charging R1
,The Cottage Motor Inn,"523 Hume St
South Albury NSW 2640
Australia",Exploren,1,AC,AC,-36.085318,146.9158676,Albury City Council,2640,Destination Charging R1
,Mantra Albury Hotel,"524 Smollett St
Albury NSW 2640
Australia",Chargefox,4,AC,AC,-36.0826053,146.9167911,Albury City Council,2640,Destination Charging R2
,Cobargo Co-operative Society ,"52-54 Princes Hwy
Cobargo NSW 2550
Australia",Chargefox,2,AC,AC,-36.3867682,149.8876926,Bega Valley Shire Council,2550,Destination Charging R1
,,"526 Bronte Rd
Bronte NSW 2024
Australia",Chargefox,2,AC,22 kW,-33.906671,151.2692898,Waverley Council,2024,Kerbside Charging R1
,,"528 Illawarra Rd
Marrickville NSW 2204
Australia",EVE Australia,4,AC,22 kW,-33.9200876,151.1441132,Inner West Council,2204,Kerbside Charging R1
,Cardiff Executive Apartments,"53 Macquarie Rd
Cardiff NSW 2285
Australia",Elanga,4,AC,AC,-32.9428392,151.6572805,Lake Macquarie City Council,2285,Destination Charging R1
,Quest Griffith,"53 Railway St
Griffith NSW 2680
Australia",Noodoe,2,AC,AC,-34.2866312,146.0445254,Griffith City Council,2680,Destination Charging R2
